pop1,pop2,k1,k2
0,1077,-1.00,8.49
763,0,9.98,-1.00
0,830,-1.00,8.44
1008,0,5.13,-1.00
677,0,8.66,-1.00
1105,0,6.24,-1.00
893,0,7.83,-1.00
667,0,10.36,-1.00
0,695,-1.00,6.39
0,739,-1.00,11.14
798,0,7.95,-1.00
637,0,13.33,-1.00
772,0,8.92,-1.00
